English,Meaning
eyelids,веки
high-speed,высокоскоростной
motorcycles,мотоциклы
insufficient,недостаточный
ceremonial,церемониальный
malt,солод
leaned,прислонился
muller,мюллер
soames,Сомс
hectic,суматошный
sudan,Судан
nba,нба
owls,совы
displays,дисплеи
brewery,пивоваренный завод
primal,первобытный
narrowed,суженный
bidder,претендент
dipped,погружали
dormant,бездействующий
asher,ашер
diagnostic,диагностика
galen,гален
selfridge,Селфридж
breathtaking,захватывающий дух
saber,сабля
specials,скидки
xo,XO
apt,склонный
winnings,выигрыши
embracing,всеобъемлющ
louvre,жалюзийное отверстие
homosexuality,гомосексуальность
georg,Georg
solace,утешение
gladiator,гладиатор
chapters,главы
foxy,лисий
whinnying,ржал
scuba,скуба
st,улица
lui,луй
kessler,Кесслер
deprive,лишай
reckons,считает
fender,крыло
areyou,ты
mags,Магне
damsel,девица
brah,Brah
cannibal,каннибал
chilled,охлажденный
leopold,Леопольд
milwaukee,Milwaukee
supplying,поставки
rightfully,законно
vandalism,вандализм
atleast,по меньшей мере
shrinking,сокращение
robotic,роботизированный
krauts,фрицы
0k,0k
garibaldi,женская свободная блуза с длинными рукавами
ragged,оборванный
bilko,Билко
top-secret,совершенно секретно
roma,Рома
surplus,избыток
judo,дзюдо
doctrine,учение
accessible,доступной
crazed,сумасшедший
audi,ауди
purposely,намеренно
sleet,дождь со снегом
yugoslavia,Югославия
ostrich,страус
no-no,нет нет
gunning,стрельба
estelle,Эстель
over see,более см
atrocities,зверства
landmark,ориентир
holdings,авуары
generators,генераторы
cheerio,здор`ово
unimaginable,невообразимый
stimulate,стимулировать
what`s,`s
incriminating,инкриминировать
jap,японец
clangs,clangs
fanatic,фанатик
surreal,сюрреалистичный
sewage,сточная вода
dehydrated,обезвоженный
acoustic,акустическое
ante,ставка
afloat,на плаву
kapoor,Капур
genevieve,Женевьева
charisma,харизма
sadistic,садистский
zeo,Zeo
iconic,портретный
enormously,чрезвычайно
constructive,конструктивный
elk,лось
exhaling,выдохе
admissions,госпитализаций
inexperienced,неопытный
misjudged,недооцененный
mast,мачта
clubhouse,здание клуба
meade,Meade
illustrious,прославленный
prepping,готовя
declaring,декларирование
nucleus,ядро
whomever,кем бы
councillor,член совета
curls,кудри
camden,Camden
cowl,обтекатель
townsend,Townsend
a-ha,Ага
unsure,неуверенный
mag,магнитный
colton,Колтон
prentiss,Прентис
costello,Костелло
chul,Чул
henrietta,Генриетта
cures,затвердевает
marla,Марла
swanson,Swanson
autographs,автографы
borderline,пограничный
provocation,провокация
perverse,извращенный
nutrients,питательные вещества
occult,оккультный
cadets,курсанты
socket,разъем
shawl,шаль
mio,млн
markham,Маркхем
framing,обрамление
junkyard,свалка
cabot,Кабот
twitch,подергивание
influences,влияет
browning,поджаривание
jfk,дж.ф.к.
upward,вверх
cooped,запертым
rooted,укоренившиеся
deserving,заслуживающий
li,литий
goro,Горо
dost,дост
burps,отрыжка
ludicrous,смехотворный
demonstrations,демонстрации
biography,биография
cy,су
concludes,заключает
retreating,отступающий
satin,сатин
bridesmaid,подружка невесты
penicillin,пенициллин
murmur,ропот
martinis,мартини
deployment,развертывание
pence,пенни
predecessor,предшественник
feeny,Фини
canon,канон
tian,тянь
underlying,лежащий в основе
avon,Эйвон
accessed,Достигано
blowjob,минета
ashton,Ashton
transfusion,переливание
blockade,блокада
mischievous,вредный
doreen,Дорин
jiffy,миг
repressed,подавленный
driscoll,Дрисколл
kaplan,Каплана
showered,Посыпались
biff,ударять
yarn,пряжа
astonished,пораженный
her-,ее-
catchy,заковыристый
titanium,титан
maguire,Maguire
deserter,дезертир
dah,дах
documentation,документация
guineas,гиней
hotch,мешанину
explored,исследовал
bom,бом
dunham,Dunham
playoffs,плей-офф
faraday,фарадей
feisty,энергичный
explorers,землепроходцы
w-we,ш-мы
blanca,Бланка
imam,имам
plainly,толком
federico,Federico
theaters,театры
inadequate,неадекватный
caddy,чайница
astounding,поразительный
highlands,горная местность
hustler,карманник
clans,кланы
paternity,отцовство
washer,Шайба
borne,с узким кругозором
gilles,жилль
disclosure,раскрытие
negotiated,договорная
attracting,привлечение
andie,Andie
indigestion,расстройство желудка
spur,шпора
cabe,Cabe
mayer,Mayer
schnapps,шнапс
hagen,хаген
renegade,ренегат
barley,ячмень
koji,кодзи
spiked,шипованная
complains,жалуется
repairing,ремонт
cheapest,самый дешевый
foxes,лис
barf,блевать
sox,носки
magicians,маги
inquest,расследование
humidity,влажность
featured,признакам
keiko,кейко
midwest,Средний Запад
reptile,рептилия
priscilla,Присцилла
